iter	Passed	Remaining
730	17918	6593
731	17944	6569
732	17968	6545
733	17992	6520
734	18015	6495
735	18040	6470
736	18063	6446
737	18088	6421
738	18112	6396
739	18139	6373
740	18162	6348
741	18185	6323
742	18209	6298
743	18233	6273
744	18256	6249
745	18279	6224
746	18304	6199
747	18327	6174
748	18352	6150
749	18377	6125
750	18401	6101
751	18426	6076
752	18451	6052
753	18474	6027
754	18498	6002
755	18541	5984
756	18579	5964
757	18624	5946
758	18669	5927
759	18718	5911
760	18758	5891
761	18799	5871
762	18844	5853
763	18880	5832
764	18920	5812
765	18952	5789
766	18993	5769
767	19032	5749
768	19071	5728
769	19112	5708
770	19151	5688
771	19184	5665
772	19209	5641
773	19237	5617
774	19263	5592
775	19288	5567
776	19313	5543
777	19339	5518
778	19368	5494
779	19395	5470
780	19420	5445
781	19444	5420
782	19521	5410
783	19558	5388
784	19591	5365
785	19616	5340
786	19641	5316
787	19672	5292
788	19697	5267
789	19721	5242
790	19745	5217
791	19770	5192
792	19799	5168
793	19823	5143
794	19847	5117
795	19872	5092
796	19905	5069
797	19931	5045
798	19954	5019
799	19981	4995
800	20006	4970
801	20031	4945
802	20056	4920
803	20090	4897
804	20119	4873
805	20147	4849
806	20173	4824
807	20202	4800
808	20231	4776
809	20258	4751
810	20288	4728
811	20316	4703
812	20344	4679
813	20372	4655
814	20401	4630
815	20428	4606
816	20457	4582
817	20480	4556
818	20508	4532
819	20535	4507
820	20563	4483
821	20592	4459
822	20620	4434
823	20647	4410
824	20675	4385
825	20701	4360
826	20728	4336
827	20753	4311
828	20783	4287
829	20811	4262
830	20857	4241
831	20886	4217
832	20925	4195
833	20968	4173
834	21011	4151
835	21057	4130
836	21100	4109
837	21133	4085
838	21158	4060
839	21182	4034
840	21208	4009
841	21241	3985
842	21275	3962
843	21305	3937
844	21336	3913
845	21370	3890
846	21396	3865
847	21425	3840
848	21448	3814
849	21489	3792
850	21521	3768
851	21560	3745
852	21590	3720
853	21620	3696
854	21646	3671
855	21689	3648
856	21735	3626
857	21785	3605
858	21839	3584
859	21895	3564
860	21930	3540
861	21960	3515
862	21990	3490
863	22022	3466
864	22055	3442
865	22090	3418
866	22135	3395
867	22164	3370
868	22195	3345
869	22228	3321
870	22259	3296
871	22285	3271
872	22311	3245
873	22339	3220
874	22367	3195
875	22398	3170
876	22424	3144
877	22448	3119
878	22477	3094
879	22515	3070
880	22560	3047
881	22590	3022
882	22623	2997
883	22653	2972
884	22684	2947
885	22718	2923
886	22744	2897
887	22778	2872
888	22804	2847
889	22834	2822
890	22862	2796
891	22889	2771
892	22918	2746
893	22942	2720
894	22968	2694
895	22994	2668
896	23020	2643
897	23044	2617
898	23068	2591
899	23093	2565
900	23118	2540
901	23142	2514
902	23167	2488
903	23189	2462
904	23213	2436
905	23241	2411
906	23267	2385
907	23290	2359
908	23315	2334
909	23339	2308
910	23365	2282
911	23389	2256
912	23413	2231
913	23438	2205
914	23462	2179
915	23486	2153
916	23512	2128
917	23537	2102
918	23562	2076
919	23587	2051
920	23610	2025
921	23636	1999
922	23661	1973
923	23685	1948
924	23711	1922
925	23736	1896
926	23760	1871
927	23784	1845
928	23812	1819
929	23836	1794
930	23874	1769
931	23899	1743
932	23923	1717
933	23948	1692
934	23975	1666
935	24003	1641
936	24027	1615
937	24050	1589
938	24074	1563
939	24101	1538
940	24125	1512
941	24152	1487
942	24178	1461
943	24205	1435
944	24232	1410
945	24256	1384
946	24281	1358
947	24307	1333
948	24332	1307
949	24356	1281
950	24381	1256
951	24409	1230
952	24435	1205
953	24460	1179
954	24484	1153
955	24509	1128
956	24533	1102
957	24558	1076
958	24582	1050
959	24607	1025
960	24637	999
961	24663	974
962	24686	948
963	24711	922
964	24739	897
965	24764	871
966	24788	845
967	24811	820
968	24837	794
969	24861	768
970	24886	743
971	24912	717
972	24935	691
973	24960	666
974	24988	640
975	25011	615
976	25035	589
977	25059	563
978	25087	538
979	25111	512
980	25137	486
981	25162	461
982	25188	435
983	25212	409
984	25238	384
985	25262	358
986	25287	333
987	25311	307
